ticker,event_type,direction,confidence,url,publish_date,event_type_canonical
2303.TW,product_launch,1,0.75,https://technews.tw/2026/03/24/faraday-highlights-40nm-sonos-envm-as-nor-flash-alternative-for-mcu-designs/,2026-03-24 20:01:00,product_launch_and_development
6770.TW,capital_raising,1,0.85,https://finance.technews.tw/2026/01/20/powerchip-technology-plans-to-increase-capital-and-issue-gdrs/,2026-01-20 20:45:00,corporate_events
2454.TW,price_increase,1,0.85,https://finance.technews.tw/2026/06/22/mediatek-notifies-customers-of-a-price-increase-for-chips/,2026-06-22 22:10:00,pricing_and_margins
2330.TW,competitive_positioning,1,0.7,https://technews.tw/2025/11/04/u-s-china-truce-without-peace-the-tech-and-raw-material-decoupling-war-heats-up/,2025-11-04 08:00:00,competitive_dynamics
3008.TW,cpo_technology_advancement,1,0.85,https://technews.tw/2026/06/13/largan-fa-automated-production-line-to-be-completed-in-sep/,2026-06-13 09:00:00,technology_advancement
3008.TW,automation_capability_expansion,1,0.8,https://technews.tw/2026/06/13/largan-fa-automated-production-line-to-be-completed-in-sep/,2026-06-13 09:00:00,technology_advancement
3008.TW,product_shipment_timing_shift,0,0.75,https://technews.tw/2026/06/13/largan-fa-automated-production-line-to-be-completed-in-sep/,2026-06-13 09:00:00,supply_chain
2492.TW,capacity_expansion,1,0.9,https://finance.technews.tw/2025/07/29/high-frequency/,2025-07-29 17:52:00,capacity_expansion
2492.TW,earnings_beat,1,0.85,https://finance.technews.tw/2025/07/29/high-frequency/,2025-07-29 17:52:00,financial_performance
2492.TW,market_expansion,1,0.9,https://finance.technews.tw/2025/07/29/high-frequency/,2025-07-29 17:52:00,market_dynamics
2454.TW,strategic_partnership,1,0.75,https://technews.tw/2025/10/28/gtc-conference-opens-in-washington/,2025-10-28 09:40:00,strategic_partnership
2308.TW,strategic_partnership,1,0.75,https://technews.tw/2025/10/28/gtc-conference-opens-in-washington/,2025-10-28 09:40:00,strategic_partnership
2382.TW,strategic_partnership,1,0.75,https://technews.tw/2025/10/28/gtc-conference-opens-in-washington/,2025-10-28 09:40:00,strategic_partnership
2357.TW,strategic_partnership,1,0.75,https://technews.tw/2025/10/28/gtc-conference-opens-in-washington/,2025-10-28 09:40:00,strategic_partnership
2301.TW,strategic_partnership,1,0.75,https://technews.tw/2025/10/28/gtc-conference-opens-in-washington/,2025-10-28 09:40:00,strategic_partnership
2356.TW,strategic_partnership,1,0.75,https://technews.tw/2025/10/28/gtc-conference-opens-in-washington/,2025-10-28 09:40:00,strategic_partnership
2330.TW,capacity_expansion,1,0.85,https://finance.technews.tw/2026/06/26/morgan-stanley-amd-venice-shipments-surpass-nvidia-vera/,2026-06-26 14:40:00,capacity_expansion
2330.TW,supply_chain_opportunity,1,0.65,https://finance.technews.tw/2025/07/16/asml-financial-q2/,2025-07-16 16:15:00,supply_chain
2330.TW,capacity_expansion,1,0.85,https://technews.tw/2026/02/17/tsmc-us-investment/,2026-02-17 11:40:00,capacity_expansion
2330.TW,trade_agreement,1,0.8,https://technews.tw/2026/02/17/tsmc-us-investment/,2026-02-17 11:40:00,geopolitical_and_regulatory
2327.TW,market_share_gain,1,0.75,https://technews.tw/2026/06/01/china-taiwan-electronic-component-makers-eat-away-at-japans-global-share/,2026-06-01 08:20:00,market_dynamics
